date	ouv	haut	bas	clot	vol	devise	
09/03/2015 00:00	52.294	52.643	52.061	52.566	1531994	EUR	
10/03/2015 00:00	52.42	52.711	51.711	52.284	1741554	EUR	
11/03/2015 00:00	52.527	53.274	52.41	53.09	1595037	EUR	
12/03/2015 00:00	52.964	53.07	52.168	52.701	1553691	EUR	
13/03/2015 00:00	52.692	52.808	52.109	52.682	1189470	EUR	
16/03/2015 00:00	52.624	53.624	52.527	53.303	1765908	EUR	
17/03/2015 00:00	53.294	53.362	52.226	53.216	1933541	EUR	
18/03/2015 00:00	53.206	53.294	52.342	52.934	1656003	EUR	
19/03/2015 00:00	53.002	53.449	52.439	52.808	1629126	EUR	
20/03/2015 00:00	52.808	54.031	52.585	53.847	3056837	EUR	
23/03/2015 00:00	53.876	53.876	52.944	53.342	1679576	EUR	
24/03/2015 00:00	53.206	53.866	53.08	53.672	1336047	EUR	
25/03/2015 00:00	53.565	53.565	52.614	52.779	1719699	EUR	
26/03/2015 00:00	52.449	52.75	51.682	52.507	1922409	EUR	
27/03/2015 00:00	52.575	52.789	52.138	52.653	1464947	EUR	
30/03/2015 00:00	52.74	53.002	52.439	52.556	1596270	EUR	
31/03/2015 00:00	52.546	52.964	51.672	51.672	2864131	EUR	
01/04/2015 00:00	51.546	53.051	51.187	52.546	2008544	EUR	
02/04/2015 00:00	52.43	52.76	52.226	52.672	736004	EUR	
07/04/2015 00:00	52.886	53.439	52.818	52.964	1101033	EUR	
08/04/2015 00:00	52.75	53.313	52.323	52.915	1318507	EUR	
09/04/2015 00:00	53.197	53.653	53.119	53.653	1107100	EUR	
10/04/2015 00:00	53.837	53.983	53.206	53.43	1649623	EUR	
13/04/2015 00:00	54.905	55.012	53.216	54.905	2531952	EUR	
14/04/2015 00:00	54.837	55.255	54.468	54.798	2104817	EUR	
15/04/2015 00:00	54.798	55.342	54.565	55.012	1451414	EUR	
16/04/2015 00:00	55.109	55.41	54.526	55.041	2096192	EUR	
17/04/2015 00:00	54.944	54.944	53.779	54.167	2460339	EUR	
20/04/2015 00:00	54.235	54.73	54.109	54.624	1255257	EUR	
21/04/2015 00:00	55.041	55.672	54.73	55.42	2084820	EUR	
22/04/2015 00:00	55.623	55.973	54.73	55.109	1683176	EUR	
23/04/2015 00:00	55.235	55.429	54.274	54.624	1954902	EUR	
24/04/2015 00:00	54.216	55.788	54.206	55.031	2137659	EUR	
27/04/2015 00:00	54.08	54.905	53.274	54.624	2427239	EUR	
28/04/2015 00:00	54.478	54.721	54.07	54.575	2000366	EUR	
29/04/2015 00:00	54.74	54.944	52.993	53.167	2272058	EUR	
30/04/2015 00:00	53.002	53.497	51.692	53.216	1996320	EUR	
04/05/2015 00:00	52.915	53.362	52.43	53.002	1485487	EUR	
05/05/2015 00:00	52.886	53.449	52.061	52.187	3041491	EUR	
06/05/2015 00:00	52.168	52.236	51.313	51.74	2543610	EUR	
07/05/2015 00:00	51.216	51.478	50.498	51.207	2916027	EUR	
08/05/2015 00:00	51.76	52.274	51.362	52.1	2242109	EUR	
11/05/2015 00:00	51.905	52.003	51.294	51.546	1697142	EUR	
12/05/2015 00:00	51.255	51.323	50.469	51.129	1932887	EUR	
13/05/2015 00:00	51.362	51.818	50.935	51.119	1621864	EUR	
14/05/2015 00:00	51.061	52.371	50.711	52.148	1723405	EUR	
15/05/2015 00:00	52.313	52.604	51.614	52.032	1742471	EUR	
18/05/2015 00:00	52.032	52.265	51.071	51.838	1220740	EUR	
19/05/2015 00:00	52.614	53.565	52.614	53.43	2956165	EUR	
20/05/2015 00:00	53.352	53.866	53.342	53.672	1404466	EUR	
21/05/2015 00:00	53.449	54.07	53.4	53.837	1320261	EUR	
22/05/2015 00:00	53.866	54.08	53.4	53.847	1165199	EUR	
25/05/2015 00:00	53.643	53.73	53.187	53.536	225154	EUR	
26/05/2015 00:00	53.488	54.012	52.925	53.42	1336272	EUR	
27/05/2015 00:00	53.682	54.827	53.585	54.682	1841078	EUR	
28/05/2015 00:00	54.488	54.488	53.274	53.769	1586432	EUR	
29/05/2015 00:00	53.769	54.099	52.498	52.498	2113065	EUR	
01/06/2015 00:00	53.08	53.701	52.74	53.187	1785180	EUR	
02/06/2015 00:00	53.342	53.478	52.546	53.158	1674929	EUR	
03/06/2015 00:00	53.197	53.527	52.449	52.701	2072619	EUR	
04/06/2015 00:00	52.41	52.76	51.274	52.197	1689933	EUR	
05/06/2015 00:00	51.886	52.09	51.362	51.74	1242593	EUR	
08/06/2015 00:00	51.537	51.75	51.09	51.09	1242294	EUR	
09/06/2015 00:00	50.876	51.061	50.051	50.721	2144557	EUR	
10/06/2015 00:00	50.585	51.624	50.236	51.265	1803139	EUR	
11/06/2015 00:00	51.197	51.983	51.1	51.469	1549435	EUR	
12/06/2015 00:00	51.362	51.449	50.158	50.77	1772380	EUR	
15/06/2015 00:00	50.11	50.178	49.527	49.624	1612739	EUR	
16/06/2015 00:00	49.343	50.246	48.886	50.139	1549988	EUR	
17/06/2015 00:00	50.197	50.343	49.333	49.498	1612427	EUR	
18/06/2015 00:00	49.284	50.148	48.615	50.09	2457630	EUR	
19/06/2015 00:00	50.139	50.789	49.915	50.673	3579587	EUR	
22/06/2015 00:00	51.77	52.896	51.702	52.75	2839602	EUR	
23/06/2015 00:00	53.391	53.488	52.828	53.197	1970365	EUR	
24/06/2015 00:00	53.032	53.459	52.672	53.216	2049028	EUR	
25/06/2015 00:00	52.721	53.721	52.595	53.342	2136593	EUR	
26/06/2015 00:00	52.711	53.643	52.255	53.439	2394494	EUR	
29/06/2015 00:00	50.119	52.43	49.605	51.284	3766334	EUR	
30/06/2015 00:00	51.042	51.556	50.352	50.362	3208666	EUR	
01/07/2015 00:00	51.012	52.158	50.75	51.74	2988259	EUR	
02/07/2015 00:00	51.925	52.1	51.478	51.546	1711352	EUR	
03/07/2015 00:00	51.498	51.77	51.109	51.74	1837764	EUR	
06/07/2015 00:00	50.343	51.294	50.207	50.576	1950630	EUR	
07/07/2015 00:00	50.605	50.838	49.75	49.945	2813963	EUR	
08/07/2015 00:00	49.799	50.77	49.605	50.129	2044147	EUR	
09/07/2015 00:00	50.391	51.517	50.168	51.304	1504844	EUR	
10/07/2015 00:00	52.585	52.973	52.07	52.76	2319061	EUR	
13/07/2015 00:00	53.391	53.925	53.09	53.701	1837530	EUR	
14/07/2015 00:00	53.497	54.109	53.459	54.109	1153455	EUR	
15/07/2015 00:00	54.235	54.701	54.022	54.449	1462825	EUR	
16/07/2015 00:00	54.73	55.187	54.497	55.012	2003516	EUR	
17/07/2015 00:00	55.235	55.255	54.682	54.934	1327682	EUR	
20/07/2015 00:00	54.924	55.429	54.701	54.866	1396612	EUR	
21/07/2015 00:00	55.089	55.138	54.662	54.847	1263403	EUR	
22/07/2015 00:00	54.691	55.245	54.517	55.157	1165790	EUR	
23/07/2015 00:00	55.332	55.332	54.517	54.682	1266482	EUR	
24/07/2015 00:00	54.556	54.915	54.07	54.323	1216402	EUR	
27/07/2015 00:00	54.002	54.119	53.197	53.352	1322045	EUR	
28/07/2015 00:00	53.663	54.216	53.439	53.925	1199236	EUR	
29/07/2015 00:00	54.022	54.73	53.954	54.565	1663550	EUR	
30/07/2015 00:00	54.847	55.06	54.061	54.439	1378025	EUR	
31/07/2015 00:00	54.992	56.837	54.992	56.691	2682105	EUR	
03/08/2015 00:00	56.604	57.71	56.536	57.71	1900202	EUR	
04/08/2015 00:00	57.575	57.662	57.157	57.565	1760050	EUR	
05/08/2015 00:00	57.555	57.74	57.274	57.575	2084077	EUR	
06/08/2015 00:00	57.759	57.914	57.487	57.71	1221015	EUR	
07/08/2015 00:00	57.798	57.934	57.4	57.468	1758486	EUR	
10/08/2015 00:00	57.691	58.584	57.516	58.565	1321076	EUR	
11/08/2015 00:00	58.429	58.545	57.769	58.002	1276985	EUR	
12/08/2015 00:00	57.439	57.545	55.818	56.254	2042582	EUR	
13/08/2015 00:00	57.177	57.536	56.672	56.885	1503269	EUR	
14/08/2015 00:00	56.769	57.439	56.342	56.526	1200535	EUR	
17/08/2015 00:00	56.779	57.303	55.963	56.594	1308511	EUR	
18/08/2015 00:00	56.516	57.031	56.303	56.604	1067633	EUR	
19/08/2015 00:00	56.284	56.575	55.837	56.109	1252123	EUR	
20/08/2015 00:00	55.934	56.303	54.983	55.332	1997144	EUR	
21/08/2015 00:00	54.429	55.42	54.303	54.536	2999218	EUR	
24/08/2015 00:00	52.614	53.468	49.615	51.352	5930802	EUR	
25/08/2015 00:00	51.983	53.07	51.76	52.701	4213320	EUR	
26/08/2015 00:00	52.187	54.177	51.459	53.352	3466787	EUR	
27/08/2015 00:00	54.662	55.973	54.391	55.449	2959554	EUR	
28/08/2015 00:00	55.39	55.691	55.06	55.662	1433405	EUR	
31/08/2015 00:00	55.342	55.847	54.895	55.73	1305979	EUR	
01/09/2015 00:00	54.954	55.138	53.944	54.653	1939970	EUR	
02/09/2015 00:00	55.089	55.313	54.293	54.779	1550013	EUR	
03/09/2015 00:00	55.235	56.08	54.992	55.526	1728611	EUR	
04/09/2015 00:00	54.944	55.517	54.711	55.274	2346800	EUR	
07/09/2015 00:00	55.565	55.818	54.944	55.255	1229404	EUR	
08/09/2015 00:00	55.818	56.701	55.73	56.051	1760137	EUR	
09/09/2015 00:00	57.274	57.934	57.021	57.264	1881973	EUR	
10/09/2015 00:00	56.701	57.827	56.662	57.235	2162144	EUR	
11/09/2015 00:00	57.487	57.497	56.148	56.303	1760062	EUR	
14/09/2015 00:00	56.303	56.594	55.643	55.643	1392653	EUR	
15/09/2015 00:00	55.672	56.594	55.614	56.303	1482641	EUR	
16/09/2015 00:00	56.701	57.06	56.342	56.963	1489443	EUR	
17/09/2015 00:00	57.118	57.545	56.701	57.507	1399986	EUR	
18/09/2015 00:00	57.05	57.215	56.012	56.449	3967510	EUR	
21/09/2015 00:00	56.303	57.478	56.303	57.303	1202967	EUR	
22/09/2015 00:00	57.361	57.361	55.429	55.837	1881345	EUR	
23/09/2015 00:00	56.041	56.565	55.555	55.779	1607538	EUR	
24/09/2015 00:00	55.206	55.42	53.76	54.187	3166820	EUR	
25/09/2015 00:00	55.031	56.4	54.886	56.021	2041956	EUR	
28/09/2015 00:00	55.953	56.342	54.992	55.352	1956294	EUR	
29/09/2015 00:00	54.585	55.332	54.361	54.536	1612601	EUR	
30/09/2015 00:00	55.565	55.653	54.963	55.051	2677031	EUR	
01/10/2015 00:00	55.973	55.973	54.459	54.818	1804367	EUR	
02/10/2015 00:00	55.371	55.594	54.07	54.798	2043851	EUR	
05/10/2015 00:00	55.691	57.274	55.672	57.05	2164137	EUR	
06/10/2015 00:00	56.361	56.74	55.866	56.497	2819002	EUR	
07/10/2015 00:00	56.604	56.808	56.186	56.313	1831458	EUR	
08/10/2015 00:00	56.118	56.332	55.798	56.225	1704253	EUR	
09/10/2015 00:00	56.575	56.691	55.109	55.274	2072775	EUR	
12/10/2015 00:00	55.284	55.322	54.303	54.711	1379167	EUR	
13/10/2015 00:00	54.41	55.672	54.167	55.604	1967353	EUR	
14/10/2015 00:00	55.255	56.07	54.818	55.643	1578473	EUR	
15/10/2015 00:00	56.109	56.439	55.497	56.157	1221095	EUR	
16/10/2015 00:00	56.439	56.711	56.206	56.536	1853620	EUR	
19/10/2015 00:00	56.303	56.798	55.905	56.002	1291890	EUR	
20/10/2015 00:00	56.012	56.672	55.992	56.254	1297253	EUR	
21/10/2015 00:00	56.594	56.866	56.245	56.565	1549027	EUR	
22/10/2015 00:00	56.526	57.225	56.002	57.06	2015409	EUR	
23/10/2015 00:00	57.594	58.866	57.516	58.361	4287852	EUR	
26/10/2015 00:00	58.118	58.642	57.876	58.613	1372399	EUR	
27/10/2015 00:00	58.341	58.536	57.992	58.206	1238136	EUR	
28/10/2015 00:00	58.235	59.06	57.982	58.759	1118846	EUR	
29/10/2015 00:00	58.924	59.293	58.244	59.293	1490990	EUR	
30/10/2015 00:00	59.303	59.788	59.002	59.584	1607937	EUR	
02/11/2015 00:00	58.778	60.166	58.691	59.681	1268434	EUR	
03/11/2015 00:00	59.555	59.817	59.167	59.516	1061014	EUR	
04/11/2015 00:00	59.701	59.827	58.089	58.283	1997997	EUR	
05/11/2015 00:00	58.477	59.565	58.235	59.05	1633057	EUR	
06/11/2015 00:00	59.176	60.768	59.147	60.399	1875441	EUR	
09/11/2015 00:00	60.099	60.681	59.885	60.021	1822038	EUR	
10/11/2015 00:00	59.739	59.759	57.837	58.837	2321031	EUR	
11/11/2015 00:00	59.05	59.933	58.924	59.283	1071695	EUR	
12/11/2015 00:00	59.07	59.332	58.157	58.176	1260298	EUR	
13/11/2015 00:00	58.06	58.371	57.439	58.157	1308564	EUR	
16/11/2015 00:00	57.788	58.545	57.478	57.788	2241512	EUR	
17/11/2015 00:00	58.555	60.05	58.439	60.021	2346199	EUR	
18/11/2015 00:00	59.633	60.147	59.264	59.943	1298077	EUR	
19/11/2015 00:00	60.302	60.691	60.089	60.244	1785626	EUR	
20/11/2015 00:00	60.458	60.545	59.468	59.691	1780827	EUR	
23/11/2015 00:00	59.73	59.933	58.953	59.429	1214175	EUR	
24/11/2015 00:00	59.235	59.235	58.244	58.73	1417878	EUR	
25/11/2015 00:00	58.827	59.798	58.662	59.409	1433441	EUR	
26/11/2015 00:00	59.264	60.205	59.079	60.099	969445	EUR	
27/11/2015 00:00	59.817	60.467	59.701	60.293	850463	EUR	
30/11/2015 00:00	60.099	60.225	59.72	59.759	1981019	EUR	
01/12/2015 00:00	59.982	60.128	58.769	59.079	1803502	EUR	
02/12/2015 00:00	59.312	59.574	58.963	59.205	1433596	EUR	
03/12/2015 00:00	59.205	59.933	56.866	57.215	2521985	EUR	
04/12/2015 00:00	56.963	57.604	56.575	57.312	2256936	EUR	
07/12/2015 00:00	57.827	58.691	57.613	58.448	1567642	EUR	
08/12/2015 00:00	58.526	58.837	57.681	57.963	2028052	EUR	
09/12/2015 00:00	58.293	58.584	57.565	57.672	1296540	EUR	
10/12/2015 00:00	57.575	57.613	56.759	56.885	1314694	EUR	
11/12/2015 00:00	56.672	56.769	55.575	55.944	1692492	EUR	
14/12/2015 00:00	56.167	56.711	55.439	55.488	1457564	EUR	
15/12/2015 00:00	56.08	56.351	55.808	55.992	2491999	EUR	
16/12/2015 00:00	56.322	56.487	55.992	56.245	1993028	EUR	
17/12/2015 00:00	57.245	57.72	57.05	57.429	2953784	EUR	
18/12/2015 00:00	56.711	56.885	56.284	56.691	5797565	EUR	
21/12/2015 00:00	56.614	57.4	56.206	56.206	1331848	EUR	
22/12/2015 00:00	56.643	56.866	55.779	56.332	1006465	EUR	
23/12/2015 00:00	56.982	57.429	56.963	57.303	1058876	EUR	
24/12/2015 00:00	57.507	57.545	57.245	57.545	186634	EUR	
28/12/2015 00:00	57.468	57.497	56.691	56.749	501719	EUR	
29/12/2015 00:00	57.215	57.924	57.215	57.759	727333	EUR	
30/12/2015 00:00	57.555	57.924	57.274	57.74	646136	EUR	
31/12/2015 00:00	57.332	57.798	57.293	57.41	185307	EUR	
04/01/2016 00:00	57.041	57.041	55.555	56.041	1775274	EUR	
05/01/2016 00:00	56.439	56.73	55.72	56.351	1211742	EUR	
06/01/2016 00:00	56.196	56.196	55.06	56.021	1352671	EUR	
07/01/2016 00:00	54.691	55.526	54.274	55.381	2057896	EUR	
08/01/2016 00:00	55.313	55.856	55.031	55.196	1672111	EUR	
11/01/2016 00:00	55.517	56.982	55.39	56.39	2419203	EUR	
12/01/2016 00:00	56.507	57.856	56.051	57.312	1938434	EUR	
13/01/2016 00:00	57.798	58.604	57.516	57.74	1857002	EUR	
14/01/2016 00:00	56.944	57.002	55.332	56.39	2645560	EUR	
15/01/2016 00:00	56.449	56.672	54.954	55.72	2892992	EUR	
18/01/2016 00:00	55.546	56.322	55.284	55.662	1511903	EUR	
19/01/2016 00:00	56.565	57.487	56.196	57.322	1746687	EUR	
20/01/2016 00:00	56.206	56.342	54.808	55.536	2249820	EUR	
21/01/2016 00:00	55.614	56.895	55.235	56.546	2779991	EUR	
22/01/2016 00:00	57.322	58.866	57.128	58.458	2397050	EUR	
25/01/2016 00:00	59.002	60.361	58.681	59.827	2377510	EUR	
26/01/2016 00:00	58.817	59.904	58.613	59.574	1762466	EUR	
27/01/2016 00:00	59.603	60.778	59.37	60.778	2039685	EUR	
28/01/2016 00:00	60.341	61.128	59.332	60.031	2162275	EUR	
29/01/2016 00:00	60.817	60.856	60.06	60.594	2350781	EUR	
01/02/2016 00:00	61.186	61.778	60.71	61.778	2174369	EUR	
02/02/2016 00:00	62.127	62.127	60.623	61.001	2121516	EUR	
03/02/2016 00:00	60.671	60.875	58.672	59.293	2649610	EUR	
04/02/2016 00:00	60.137	60.438	58.526	58.526	1913723	EUR	
05/02/2016 00:00	59.798	60.312	58.72	58.972	2776478	EUR	
08/02/2016 00:00	59.71	60.011	57.167	57.623	3209366	EUR	
09/02/2016 00:00	57.575	57.943	55.769	57.497	3061555	EUR	
10/02/2016 00:00	57.846	58.846	57.39	58.089	2455942	EUR	
11/02/2016 00:00	57.468	57.565	56.39	56.507	2278421	EUR	
12/02/2016 00:00	56.895	57.312	56.361	56.914	2172845	EUR	
15/02/2016 00:00	57.982	58.769	57.769	58.594	1817988	EUR	
16/02/2016 00:00	59.021	59.885	58.652	59.594	1900391	EUR	
17/02/2016 00:00	60.079	61.448	59.895	61.331	2577184	EUR	
18/02/2016 00:00	61.351	62.03	60.856	61.797	1970361	EUR	
19/02/2016 00:00	61.661	62.011	60.215	61.05	2009770	EUR	
22/02/2016 00:00	61.341	62.079	61.166	61.215	1534548	EUR	
23/02/2016 00:00	61.157	61.817	61.05	61.215	1454838	EUR	
24/02/2016 00:00	61.147	61.283	59.904	60.545	1854945	EUR	
25/02/2016 00:00	61.448	62.108	61.118	61.778	1658350	EUR	
26/02/2016 00:00	62.127	62.652	61.428	61.555	1881899	EUR	
29/02/2016 00:00	61.225	61.982	60.613	61.953	1758901	EUR	
01/03/2016 00:00	62.03	62.195	61.564	62.127	3114557	EUR	
02/03/2016 00:00	62.613	62.768	60.953	61.118	2585420	EUR	
03/03/2016 00:00	61.089	61.176	60.535	61.166	1226150	EUR	
04/03/2016 00:00	61.516	62.156	60.856	62.089	1695597	EUR	
07/03/2016 00:00	62.127	62.613	61.652	61.836	1241705	EUR	
08/03/2016 00:00	61.467	61.788	60.71	61.419	1389945	EUR	
09/03/2016 00:00	61.545	62.419	61.322	62.021	1480340	EUR	
10/03/2016 00:00	62.263	64.496	61.739	61.739	3162875	EUR	
11/03/2016 00:00	62.875	63.642	62.661	63.438	2039934	EUR	
14/03/2016 00:00	63.486	63.904	62.593	62.71	1278203	EUR	
15/03/2016 00:00	62.341	63.302	62.234	63.253	1402719	EUR	
16/03/2016 00:00	63.292	63.38	62.729	63.38	1424055	EUR	
17/03/2016 00:00	63.768	64.001	62.37	63.467	1832378	EUR	
18/03/2016 00:00	63.952	63.972	62.875	62.875	3593189	EUR	
21/03/2016 00:00	63.069	63.516	62.593	63.04	1365242	EUR	
22/03/2016 00:00	62.652	63.195	62.273	63.166	1124440	EUR	
23/03/2016 00:00	63.418	63.778	63.166	63.525	1375123	EUR	
24/03/2016 00:00	62.943	63.477	62.758	63.098	1086162	EUR	
29/03/2016 00:00	63.341	63.846	62.972	63.292	1180491	EUR	
30/03/2016 00:00	63.797	64.739	63.7	64.35	1641048	EUR	
31/03/2016 00:00	63.855	63.855	63.253	63.554	1630302	EUR	
01/04/2016 00:00	62.855	63.409	61.982	63.37	2470303	EUR	
04/04/2016 00:00	63.098	63.943	62.477	63.535	1392592	EUR	
05/04/2016 00:00	62.729	63.011	62.419	62.846	1687554	EUR	
06/04/2016 00:00	62.885	63.302	62.545	63.195	1430833	EUR	
07/04/2016 00:00	63.166	63.719	62.554	62.952	1409800	EUR	
08/04/2016 00:00	63.05	63.185	62.487	63.118	1480111	EUR	
11/04/2016 00:00	63.059	63.176	62.273	62.69	1698432	EUR	
12/04/2016 00:00	62.613	62.962	62.127	62.855	1659717	EUR	
13/04/2016 00:00	63.496	63.729	62.545	63.001	2162998	EUR	
14/04/2016 00:00	63.108	63.914	62.787	63.914	1954695	EUR	
15/04/2016 00:00	63.875	64.302	63.846	64.02	1880814	EUR	
18/04/2016 00:00	63.438	64.244	63.409	64.117	1335808	EUR	
19/04/2016 00:00	64.205	64.554	63.816	64.244	1867867	EUR	
20/04/2016 00:00	64.147	64.389	63.244	63.642	1724334	EUR	
21/04/2016 00:00	63.797	64.069	61.953	62.36	2393472	EUR	
22/04/2016 00:00	62.535	63.331	62.118	63.108	1394057	EUR	
25/04/2016 00:00	63.118	63.564	62.836	63.564	1126482	EUR	
26/04/2016 00:00	63.011	63.428	62.584	63.224	2003882	EUR	
27/04/2016 00:00	63.321	64.088	63.292	63.875	1441183	EUR	
28/04/2016 00:00	63.729	64.069	63.069	64.069	1487176	EUR	
29/04/2016 00:00	61.254	63.952	61.254	63.331	3100616	EUR	
02/05/2016 00:00	63.098	63.448	62.894	63.04	1102810	EUR	
03/05/2016 00:00	63.098	63.681	62.69	63.583	1947885	EUR	
04/05/2016 00:00	63.36	63.71	62.37	62.584	1707749	EUR	
05/05/2016 00:00	62.593	62.962	62.263	62.428	1192132	EUR	
06/05/2016 00:00	62.283	62.457	61.419	61.885	1554837	EUR	
09/05/2016 00:00	62.001	62.448	61.856	62.05	1365455	EUR	
10/05/2016 00:00	62.584	62.826	61.943	62.215	1345620	EUR	
11/05/2016 00:00	62.059	62.894	61.924	62.671	1714165	EUR	
12/05/2016 00:00	62.535	63.098	62.166	62.729	1358998	EUR	
13/05/2016 00:00	62.341	63.545	62.127	63.185	1442220	EUR	
16/05/2016 00:00	62.758	63.681	62.584	63.603	760384	EUR	
17/05/2016 00:00	63.632	63.904	62.836	63.224	1554556	EUR	
18/05/2016 00:00	62.846	63.448	62.7	63.448	1558541	EUR	
19/05/2016 00:00	63.108	63.467	62.71	63.244	1119843	EUR	
20/05/2016 00:00	63.574	64.079	63.399	64.079	2362910	EUR	
23/05/2016 00:00	64.273	64.865	64.234	64.409	1862089	EUR	
24/05/2016 00:00	64.477	65.942	64.331	65.758	2410659	EUR	
25/05/2016 00:00	65.981	66.078	65.389	65.438	1739747	EUR	
26/05/2016 00:00	65.476	66.078	65.476	65.933	1347393	EUR	
27/05/2016 00:00	65.748	66.185	65.632	66.185	1420016	EUR	
30/05/2016 00:00	66.107	66.292	65.826	66.156	879228	EUR	
31/05/2016 00:00	65.583	65.768	65.195	65.612	3334905	EUR	
01/06/2016 00:00	65.496	65.797	65.059	65.234	1666496	EUR	
02/06/2016 00:00	65.36	65.651	64.68	64.836	1662326	EUR	
03/06/2016 00:00	64.943	65.273	64.331	64.739	1543254	EUR	
06/06/2016 00:00	64.574	65.059	64.234	64.875	1278154	EUR	
07/06/2016 00:00	65.137	65.496	64.933	64.943	1895361	EUR	
08/06/2016 00:00	64.671	64.836	64.108	64.214	1715215	EUR	
09/06/2016 00:00	64.224	64.224	63.603	63.865	1479701	EUR	
10/06/2016 00:00	63.632	63.632	62.729	62.778	1614726	EUR	
13/06/2016 00:00	62.263	62.554	61.788	61.788	2023974	EUR	
14/06/2016 00:00	61.128	61.263	60.361	60.361	2530995	EUR	
15/06/2016 00:00	60.914	61.477	60.671	60.768	1911571	EUR	
16/06/2016 00:00	60.186	60.71	59.701	60.506	1890796	EUR	
17/06/2016 00:00	60.875	61.273	60.671	61.06	2539351	EUR	
20/06/2016 00:00	62.457	63.331	62.37	62.904	2002484	EUR	
21/06/2016 00:00	63.05	63.05	62.496	62.836	2150483	EUR	
22/06/2016 00:00	63.283	63.457	62.535	62.535	2036170	EUR	
23/06/2016 00:00	62.904	63.457	62.127	62.758	3020573	EUR	
24/06/2016 00:00	59.341	59.836	57.012	58.235	6511291	EUR	
27/06/2016 00:00	57.778	58.953	56.584	56.856	3827010	EUR	
28/06/2016 00:00	57.701	58.739	57.264	58.594	3388757	EUR	
29/06/2016 00:00	59.303	60.953	59.06	60.691	2497448	EUR	
30/06/2016 00:00	60.749	62.011	60.205	61.826	2836350	EUR	
01/07/2016 00:00	62.147	63.03	61.991	62.467	2157756	EUR	
04/07/2016 00:00	62.826	62.991	61.691	61.7	1137161	EUR	
05/07/2016 00:00	61.225	61.448	60.574	60.836	1507672	EUR	
06/07/2016 00:00	60.419	60.895	59.885	60.39	1895413	EUR	
07/07/2016 00:00	60.788	61.584	60.691	61.283	1749695	EUR	
08/07/2016 00:00	61.05	62.089	60.836	61.739	1476082	EUR	
11/07/2016 00:00	62.341	63.564	62.059	63.535	1497060	EUR	
12/07/2016 00:00	63.583	64.379	63.496	63.836	1526085	EUR	
13/07/2016 00:00	63.603	64.535	63.603	64.156	1422867	EUR	
14/07/2016 00:00	64.457	64.719	63.749	64.37	1253429	EUR	
15/07/2016 00:00	64.244	64.428	63.826	64.331	1041803	EUR	
18/07/2016 00:00	64.341	64.729	63.69	63.972	994528	EUR	
19/07/2016 00:00	63.836	64.166	63.409	64.011	1144119	EUR	
20/07/2016 00:00	64.35	64.661	63.904	64.438	1104108	EUR	
21/07/2016 00:00	64.467	64.7	63.477	64.04	1004646	EUR	
22/07/2016 00:00	64.088	64.904	64.059	64.603	1084904	EUR	
25/07/2016 00:00	64.748	65.292	64.593	65.243	968212	EUR	
26/07/2016 00:00	65.234	65.506	65.01	65.408	1155320	EUR	
27/07/2016 00:00	65.535	66.059	65.535	65.632	1309129	EUR	
28/07/2016 00:00	65.36	66.302	65.001	65.117	1366575	EUR	
29/07/2016 00:00	65.622	65.904	63.914	65.904	1846110	EUR	
01/08/2016 00:00	66.01	66.088	65.088	65.253	1081234	EUR	
02/08/2016 00:00	65.263	65.836	65.263	65.399	1468451	EUR	
03/08/2016 00:00	65.408	65.428	64.554	65.127	1695245	EUR	
04/08/2016 00:00	65.661	65.884	64.7	65.263	1114333	EUR	
05/08/2016 00:00	65.379	65.7	64.836	65.078	2397741	EUR	
08/08/2016 00:00	65.059	65.428	64.564	65.302	1083035	EUR	
09/08/2016 00:00	65.389	65.7	65.137	65.7	1054000	EUR	
10/08/2016 00:00	65.467	65.768	65.234	65.729	947136	EUR	
11/08/2016 00:00	66.01	67.641	65.942	67.641	1866341	EUR	
12/08/2016 00:00	67.631	67.758	66.884	66.884	1286225	EUR	
15/08/2016 00:00	66.816	67.253	66.632	66.69	696695	EUR	
16/08/2016 00:00	66.399	66.428	65.622	65.622	1638200	EUR	
17/08/2016 00:00	65.573	65.641	64.68	65.03	1478659	EUR	
18/08/2016 00:00	65.525	65.913	65.379	65.739	1052125	EUR	
19/08/2016 00:00	65.758	65.758	64.865	65.059	1145122	EUR	
22/08/2016 00:00	64.884	65.515	64.428	64.943	921082	EUR	
23/08/2016 00:00	65.447	65.573	65.078	65.185	1284763	EUR	
24/08/2016 00:00	64.777	65.447	64.515	65.059	1144729	EUR	
25/08/2016 00:00	64.991	65.214	64.535	64.981	713998	EUR	
26/08/2016 00:00	65.02	65.68	64.787	65.467	889150	EUR	
29/08/2016 00:00	65.292	65.428	64.913	65.292	557117	EUR	
30/08/2016 00:00	65.593	66.224	65.544	66.039	1188184	EUR	
31/08/2016 00:00	65.894	67.039	65.787	66.001	1792068	EUR	
01/09/2016 00:00	66.243	66.913	65.942	66.253	1206588	EUR	
02/09/2016 00:00	66.496	67.398	66.263	67.292	1286225	EUR	
05/09/2016 00:00	67.272	67.466	66.787	66.806	874205	EUR	
06/09/2016 00:00	67.088	67.321	66.884	67.01	957038	EUR	
07/09/2016 00:00	67.214	67.457	66.913	67.292	1086492	EUR	
08/09/2016 00:00	67.185	67.622	66.263	66.729	1322228	EUR	
09/09/2016 00:00	66.622	66.874	65.001	65.311	1834548	EUR	
